                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7145,                 4.9457,                 1.9033,                 0.0035,                      1,                0.32727,                 0.1318,                 1.8601,                 3.7551,                 2.4224,                0.00028,                0.00028,                0.00028
                      2,                 1.6995,                 3.7641,                 1.9267,                 0.0035,                      1,                0.23945,                0.07099,                 2.1353,                 3.9667,                  2.581,             0.00056852,             0.00056852,             0.00056852
                      3,                  1.804,                 3.7125,                 2.0002,                0.32435,                0.18341,                0.13226,                0.04644,                 2.2536,                 4.2426,                 3.3976,             0.00084515,             0.00084515,             0.00084515
                      4,                 2.0243,                 3.8419,                 2.2134,                0.02509,                0.19048,                  0.066,                0.01522,                 2.6932,                 4.3709,                 3.3842,              0.0011099,              0.0011099,              0.0011099
                      5,                 2.0755,                 3.6984,                 2.2344,                0.06346,                0.14286,                0.01207,                 0.0034,                 3.6579,                 9.0586,                 4.4133,              0.0013628,              0.0013628,              0.0013628
                      6,                  2.045,                 3.8047,                 2.2049,                0.00341,                0.09524,                0.00142,                0.00031,                 4.0676,                 6.7432,                 5.7899,              0.0016038,              0.0016038,              0.0016038
                      7,                 2.0828,                 3.5917,                  2.222,                0.02496,                0.04762,                0.01289,                0.00381,                 2.8399,                 6.8673,                 4.8626,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1104,                 3.5307,                 2.3017,                0.13484,                0.09524,                0.08488,                0.01816,                 3.1381,                 6.3077,                 5.8563,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.1703,                 3.5137,                 2.3113,                0.05601,                0.04762,                0.01117,                0.00239,                 3.7792,                 4.0187,                 4.7455,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.1776,                  3.504,                 2.3056,                0.11901,                0.04762,                0.01781,                0.00698,                 3.1125,                 5.3277,                 5.3472,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.1498,                 3.2667,                 2.2986,                0.09846,                0.04762,                0.05523,                0.02501,                 2.9049,                 10.526,                 3.9497,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.0633,                 3.1926,                 2.2702,                0.17703,                0.14286,                0.09906,                0.03373,                  2.961,                 4.4248,                 4.0173,               0.001604,               0.001604,               0.001604
                     13,                 2.1974,                 3.2432,                 2.2846,                0.12574,                0.42857,                0.11864,                0.02586,                 2.5505,                 4.4309,                 3.5107,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.1518,                 3.2037,                 2.3008,                0.06138,                0.19048,                0.08471,                0.02179,                 2.4804,                 7.1817,                 3.4323,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.2276,                 3.1793,                 2.4131,                0.07053,                0.42857,                0.05817,                0.01744,                 2.2531,                 4.1914,                 2.9897,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.0791,                 3.0822,                 2.2385,                0.07885,                0.33333,                0.05452,                0.01067,                 2.6548,                 3.3251,                 3.2776,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.1239,                 3.0355,                 2.2732,                0.15178,                0.37502,                0.17127,                0.04406,                 2.3011,                 2.8262,                 2.8197,               0.001406,               0.001406,               0.001406
                     18,                 2.0788,                  3.023,                 2.2591,                0.16107,                0.36592,                0.11502,                0.03322,                 2.6329,                 2.9817,                  3.137,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.2256,                 3.0191,                 2.4117,                0.19966,                0.33333,                0.15299,                0.04385,                 2.5583,                  2.655,                 3.0867,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.1354,                  3.057,                  2.278,                  0.037,                0.04762,                0.01716,                0.00323,                 3.0551,                 3.9903,                 3.5732,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.0783,                 2.9684,                 2.2031,                0.12872,                0.09524,                0.07638,                0.01912,                  2.798,                 3.2955,                 3.2327,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.9548,                 2.7875,                 2.1096,                0.11833,                0.14286,                0.09137,                0.02858,                 2.3496,                 2.9021,                 2.7669,               0.001208,               0.001208,               0.001208
                     23,                 2.0268,                 2.8309,                 2.1427,                0.13537,                0.14934,                0.17136,                0.04107,                 2.4828,                 2.9053,                 2.9708,              0.0011684,              0.0011684,              0.0011684
                     24,                  1.978,                  2.795,                 2.1254,                0.23775,                0.38095,                0.16977,                0.05641,                 2.4992,                 2.6641,                 2.8872,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.9195,                 2.6902,                 2.0812,                0.18063,                0.33333,                0.24756,                 0.0813,                 2.3014,                 2.5804,                 2.7189,              0.0010892,              0.0010892,              0.0010892
                     26,                  1.958,                 2.6391,                 2.1143,                 0.1278,                 0.2381,                0.07719,                0.03063,                  2.307,                 2.9844,                 2.7138,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.8937,                 2.5514,                 2.0247,                0.22433,                0.33333,                0.15133,                0.04391,                 2.4039,                 2.7481,                 3.0896,                0.00101,                0.00101,                0.00101
                     28,                 1.9236,                 2.6146,                 2.1024,                0.19199,                0.33333,                0.14825,                0.04652,                 2.2876,                 2.5508,                 2.8092,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.9559,                 2.4631,                 2.1282,                0.21061,                0.19048,                0.22649,                0.05799,                 2.4797,                 2.4365,                 3.0232,              0.0009308,              0.0009308,              0.0009308
                     30,                 2.0388,                 2.5158,                 2.1711,                0.41365,                0.19048,                0.24465,                0.05937,                 2.4977,                 2.7134,                 2.9894,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.8163,                 2.4879,                 2.0162,                0.36751,                0.36028,                0.26758,                0.08882,                 2.2998,                 2.4281,                 2.7828,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.7658,                 2.5366,                 1.9763,                0.28908,                0.52381,                0.30153,                0.10111,                  2.257,                 2.4209,                 2.7487,               0.000812,               0.000812,               0.000812
                     33,                 1.7541,                 2.2806,                 1.9174,                0.50338,                0.52381,                0.40811,                0.12882,                 2.1958,                 2.2032,                 2.6417,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.9675,                 2.6057,                  2.074,                0.36095,                0.47619,                0.35903,                0.12773,                 2.2663,                 2.4293,                  2.644,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.7821,                 2.4065,                 1.9557,                0.52671,                0.37149,                 0.4072,                0.12234,                 2.1958,                 2.4746,                 2.5745,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.6301,                 2.2625,                 1.8505,                0.43262,                0.61905,                0.37177,                0.09589,                 2.2833,                 2.4937,                 2.7659,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.7366,                 2.3344,                 1.9474,                0.36402,                 0.3549,                0.32511,                 0.0932,                  2.392,                  2.666,                 2.8997,               0.000614,               0.000614,               0.000614
                     38,                 1.6522,                 2.1827,                 1.8714,                0.40804,                0.42857,                0.39223,                 0.1207,                 2.3609,                 2.2593,                 2.7861,              0.0005744,              0.0005744,              0.0005744
                     39,                  1.623,                 2.1829,                 1.8072,                0.43027,                0.61905,                 0.4809,                0.16841,                 2.4592,                 2.1605,                 2.7898,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.7819,                 2.1715,                 1.9755,                0.64894,                0.42857,                0.45555,                0.15796,                 2.4415,                 2.2327,                 2.7649,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.8962,                 2.9441,                 2.2996,                0.48084,                0.42857,                0.47537,                0.17684,                 2.5023,                 2.2001,                 2.9388,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.6773,                 2.3314,                 2.0465,                 0.6313,                0.52381,                0.55585,                0.15443,                 2.5182,                 2.2917,                 3.0412,               0.000416,               0.000416,               0.000416
                     43,                 1.6127,                 2.1689,                 2.0737,                0.84117,                0.50531,                0.65483,                0.21203,                  2.325,                 2.0968,                 2.7513,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5908,                 2.1145,                 2.0582,                0.56673,                0.61905,                0.58303,                0.17541,                 2.3579,                 2.0644,                 2.7724,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.5349,                 2.0526,                 2.0002,                0.54972,                0.57143,                0.56541,                0.15222,                 2.3771,                  2.015,                  2.763,              0.0002972,              0.0002972,              0.0002972
                     46,                  1.512,                 1.9153,                 1.9613,                 0.5776,                0.52106,                0.57113,                0.16965,                 2.3104,                 2.0885,                 2.7699,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.5488,                 2.0495,                 1.9715,                0.74329,                0.57143,                0.62325,                0.19644,                 2.1978,                 1.9812,                 2.6242,               0.000218,               0.000218,               0.000218
                     48,                  1.501,                 2.1277,                 1.8986,                0.65621,                0.52381,                0.61544,                0.19873,                 2.2314,                 1.9515,                 2.6598,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4899,                 1.8273,                  1.872,                0.69635,                0.52381,                0.60887,                0.20425,                 2.2061,                 1.9182,                 2.6205,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.5499,                 2.1122,                 1.9699,                0.75124,                0.52381,                0.63781,                 0.2282,                 2.1732,                 1.8419,                 2.5783,               9.92e-05,               9.92e-05,               9.92e-05
